admin,admin,admin123,adminID
teacher,teacher,teacher123,teacherID
parent,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,ID2977
User,parent,parent123,ID8548
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,duncan!,snappy,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,duncan1,snappies,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,jumbo,wumbo,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
admin,tim,tom
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
admin,tim,tom
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,student,student123,studentID
User,wumbo,jumbo,
User,ac,bc,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,o,b,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,wumbo,jo,
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,go,to,ID5703
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,wumbo,jumbo,ID9339
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
User,adminID,admin,admin123
User,teacher,teacher123,teacherID
User,parent,parent123,parentID
parent,parent,parent123
